cfg_label,round,elo_temperature,w_tournament,w_blade,uwo_lambda,elo_rounds,gsi_n,response_quality,relevance,helpfulness,toxicity,harmfulness,refusal,objective
r0_cfg3,0,21.029791911132634,1.5867192456498742,2.088413159362972,0.3952437350526452,7,3,0.752,0.68,0.682,0.056,0.082,0.522,0.8094669095324832
r0_cfg0,0,15.0,1.0,1.0,0.5,6,8,0.692,0.634,0.708,0.07,0.104,0.476,0.7681713197969543
r0_cfg2,0,36.57742354366928,0.5194765208289027,0.756638458929956,0.6933132084086537,9,8,0.73,0.71,0.692,0.05,0.092,0.504,0.8112553062462099
r0_cfg7,0,31.637042555958033,2.9642628002911806,0.2905998984351754,0.5481348242610693,9,5,0.702,0.594,0.668,0.072,0.142,0.526,0.7510240103828683
r0_cfg6,0,25.97017326205969,1.0283670611679554,2.747099963016808,0.3437629137188196,7,9,0.732,0.65,0.698,0.042,0.126,0.562,0.7877485998755445
r0_cfg4,0,1.7076322119683027,1.4447080548852682,0.7129213633015752,0.8515185508877039,2,10,0.768,0.664,0.636,0.042,0.062,0.482,0.8158269230769231
r0_cfg1,0,17.810149500146508,2.4431039169430733,2.419238300062716,0.053456684574484825,4,14,0.744,0.674,0.644,0.056,0.066,0.518,0.8079502427184466
r0_cfg5,0,6.517390771768987,2.014860629104078,1.1782503677532077,0.8938517281785607,4,15,0.736,0.69,0.722,0.07,0.112,0.544,0.7991578298397041
r0_cfg11,0,29.693259146995842,2.42042388394475,1.393136722035706,0.15760407503694296,3,6,0.78,0.644,0.684,0.046,0.074,0.538,0.8102663438256658
r0_cfg10,0,33.703091450966895,1.192050414159894,1.5501067349687219,0.9845422161743045,5,5,0.734,0.64,0.658,0.066,0.088,0.6,0.7877031055900621
r0_cfg8,0,13.00039144884795,0.010117870755493641,1.7598419850692153,0.189472165890038,6,12,0.748,0.68,0.714,0.048,0.08,0.504,0.8100654545454544
r0_cfg9,0,13.409926312044263,1.7998790564015508,0.12481158133596182,0.2533165365457535,10,11,0.756,0.632,0.632,0.058,0.082,0.578,0.7948522167487684
r0_cfg14,0,24.885880813002586,0.353650183416903,0.5477052284404635,0.08384446427226067,3,6,0.704,0.662,0.684,0.092,0.146,0.538,0.7694667519181585
r0_cfg13,0,5.125954902730882,2.6486125644296408,1.879250136204064,0.6626813178882003,6,12,0.74,0.674,0.67,0.048,0.072,0.552,0.8070188221007893
r0_cfg12,0,10.068716770038009,0.5934790363535285,2.9063238305971026,0.5802470855414867,8,13,0.748,0.658,0.68,0.044,0.058,0.512,0.8076840193704601
r0_cfg15,0,38.51046898588538,2.122550236992538,2.579400605522096,0.7544648796319962,5,8,0.758,0.624,0.708,0.052,0.12,0.536,0.7870080996884736
r0_cfg17,0,19.393776980228722,2.1624849513173103,1.6806578859686852,0.5289708208292723,2,6,0.774,0.626,0.698,0.03,0.052,0.48,0.809282700421941
r0_cfg21,0,8.749072756618261,2.2864870419725776,0.44022500328719616,0.4300308460369706,6,4,0.744,0.646,0.68,0.072,0.078,0.57,0.7936728395061728
r0_cfg20,0,3.7897791946306825,0.23119319044053555,1.4742551185190678,0.325087146833539,4,8,0.79,0.666,0.7,0.038,0.062,0.532,0.8243146603098928
r0_cfg16,0,18.352687525562942,0.8577392175793648,0.9724632063880563,0.49205323588103056,8,15,0.742,0.64,0.652,0.034,0.076,0.57,0.7982823960880195
r0_cfg18,0,39.90615934692323,0.8044960973784328,0.018064135685563087,0.23329249490052462,7,12,0.696,0.634,0.66,0.088,0.102,0.576,0.766656050955414
r0_cfg19,0,23.785287456586957,2.8075658390298486,2.8497415613383055,0.9371837610378861,9,14,0.726,0.66,0.64,0.064,0.106,0.534,0.7886753731343285
r0_cfg22,0,28.575872289948165,0.7406320162117481,2.009069222956896,0.8233212996274233,9,11,0.752,0.604,0.69,0.056,0.108,0.508,0.7799548872180451
r0_cfg23,0,35.115573859773576,1.734423654153943,1.0528495386242867,0.025747759267687798,7,13,0.74,0.616,0.69,0.042,0.09,0.532,0.7856724565756823
r0_cfg24,0,14.434482619166374,1.220917266793549,2.5220855567604303,0.7276120530441403,4,7,0.75,0.678,0.7,0.018,0.068,0.5,0.8178312387791742
r0_cfg25,0,11.911103983409703,2.8288268269971013,0.8875619117170572,0.7895000949501991,8,9,0.776,0.64,0.682,0.05,0.098,0.564,0.8024577723378213
r0_cfg28,0,7.920817048288882,1.0586643805727363,2.1691599916666746,0.11839135363698006,10,5,0.766,0.682,0.712,0.036,0.08,0.524,0.8187370948379351
r0_cfg29,0,3.1326124407351017,1.6282446440309286,2.63998057320714,0.13819196727126837,8,7,0.738,0.652,0.702,0.06,0.072,0.562,0.7969674647022713
r0_cfg27,0,27.004716405645013,1.950835783034563,0.6559782363474369,0.6352125694975257,5,11,0.764,0.656,0.674,0.022,0.094,0.546,0.8097094430992736
r0_cfg31,0,35.25004361476749,2.600718188099563,1.8398560378700495,0.29640839248895645,3,10,0.714,0.684,0.622,0.08,0.146,0.562,0.7818575031525852
r0_cfg30,0,22.043042327277362,1.3930557081475854,1.3084410410374403,0.6238271780312061,5,14,0.75,0.64,0.684,0.062,0.102,0.502,0.7910849349039059
r0_cfg26,0,30.288369027897716,0.15577162988483906,2.3128509745001793,0.46409622114151716,3,16,0.758,0.672,0.666,0.064,0.098,0.464,0.8042656058751532
r0_cfg32,0,16.699308954179287,0.39568061381578445,0.2329247072339058,0.9656184045597911,6,4,0.732,0.646,0.69,0.054,0.13,0.536,0.783484032561052
r0_cfg33,0,15.671887564472854,1.528851849026978,1.3245170144364238,0.740848514251411,6,5,0.77,0.698,0.688,0.036,0.082,0.5,0.8247092537313433
r0_cfg34,0,36.27803423628211,1.4805935192853212,2.998835896141827,0.005791701376438141,9,11,0.71,0.63,0.634,0.092,0.182,0.514,0.754350945857795
r0_cfg36,0,2.635398662649095,0.48358392622321844,1.5425527235493064,0.4139780690893531,4,9,0.768,0.64,0.714,0.046,0.066,0.484,0.8065242718446601
r0_cfg37,0,7.425965553149581,2.9283773358911276,2.57797918561846,0.33136167004704475,2,4,0.734,0.69,0.708,0.04,0.086,0.504,0.8091497877501516
r0_cfg38,0,27.49894752819091,0.06798526737838984,0.9974107732996345,0.9063673904165626,7,10,0.726,0.664,0.7,0.034,0.088,0.534,0.7987821297429621
r0_cfg40,0,10.881321327760816,0.9705125167965889,0.48466884065419436,0.5020498409867287,4,7,0.756,0.648,0.68,0.06,0.094,0.604,0.7974720000000001
r0_cfg35,0,22.539671763777733,2.5009584613144398,0.1553424233570695,0.8326697535812855,7,16,0.746,0.69,0.73,0.052,0.106,0.49,0.8069286150091519
r0_cfg39,0,31.3187592709437,2.050753223709762,1.9656295655295253,0.23568687122315168,9,14,0.726,0.666,0.702,0.028,0.06,0.486,0.8055399515738498
r0_cfg41,0,15.537513698451221,2.385994680225849,2.1306656347587705,0.9408905254676938,8,9,0.742,0.616,0.686,0.038,0.126,0.508,0.780616155291171
r0_cfg44,0,9.16828732099384,1.1327167209237814,0.8374346131458879,0.14276858512312174,6,6,0.722,0.628,0.694,0.076,0.106,0.494,0.7747159090909091
r0_cfg42,0,34.01315501704812,0.6527969716116786,0.6936514405533671,0.2970827054232359,5,15,0.752,0.68,0.682,0.082,0.074,0.592,0.806046398046398
r0_cfg43,0,28.156042002141476,1.8342982241883874,2.3623402258381248,0.5952122379094362,3,13,0.744,0.708,0.724,0.046,0.062,0.486,0.8215263157894737
r0_cfg45,0,4.206631330773234,2.063232301734388,0.3652634611353278,0.1001292634755373,8,7,0.778,0.666,0.69,0.048,0.068,0.558,0.8174567307692308
r0_cfg47,0,38.80134102795273,2.7079462576657534,1.1651130812242627,0.44195494521409273,5,11,0.758,0.642,0.686,0.042,0.102,0.552,0.7980343980343979
r0_cfg46,0,23.36785562802106,0.8921684212982655,1.7085271859541535,0.6462667817249894,3,13,0.75,0.67,0.704,0.056,0.106,0.502,0.8010926949048496
r1_cfg1,1,25.554421769069894,1.598796838921636,1.4281617396095898,0.001277085582104487,6,5,0.718,0.67,0.678,0.074,0.116,0.56,0.7855784865540963
r1_cfg3,1,25.86692682103901,1.5310968089326955,1.381836330491332,0.8947999352288368,6,5,0.69,0.672,0.632,0.052,0.088,0.62,0.7862569832402234
r1_cfg2,1,2.1859587280151582,0.22038803466331763,1.4359446780330256,0.6758841374920742,4,7,0.766,0.658,0.714,0.068,0.092,0.568,0.8027450980392156
r1_cfg7,1,13.742930078881098,1.4174080493277894,2.805317886327972,0.7259645888613939,6,9,0.74,0.648,0.67,0.06,0.098,0.468,0.7915467492260062
r1_cfg0,1,14.30444645474891,0.1704471379935028,1.3706411552366013,0.6434735698185046,6,10,0.706,0.666,0.636,0.038,0.124,0.558,0.7855875389408099
r1_cfg4,1,10.390909860550398,0.5398640736413582,2.1744718323138934,0.5155570043718173,10,14,0.744,0.632,0.682,0.026,0.086,0.526,0.795921568627451
r1_cfg5,1,14.233695535398196,0.6858992599774667,2.5245258761582843,0.7758529021363357,4,13,0.784,0.63,0.704,0.036,0.046,0.55,0.8139411764705884
r1_cfg6,1,11.53677742165475,1.552646248192754,1.273514470150307,0.8723142274795973,6,14,0.746,0.676,0.67,0.048,0.096,0.536,0.8051348383160465
r2_cfg4,2,15.804406661523034,2.2249469670270225,1.367428403462943,0.8697600144637394,6,4,0.744,0.63,0.668,0.05,0.108,0.562,0.7869738805970149
r2_cfg0,2,12.11231149212027,2.3569951818060195,1.4017995930767948,0.10170190703088103,3,5,0.742,0.642,0.652,0.078,0.104,0.574,0.7857938788257338
r2_cfg1,2,16.553735026458916,2.6972066141930657,1.6799978554401322,0.5377205941716804,6,5,0.778,0.674,0.704,0.056,0.096,0.484,0.8131200000000001
r2_cfg7,2,14.933860890526505,0.4844166938342034,1.4665872052470044,0.7248052339620732,4,5,0.754,0.656,0.694,0.054,0.078,0.54,0.8035021354484442
r2_cfg5,2,3.505561863296566,0.4343226669467971,1.2927128595380544,0.7634513368722959,6,6,0.766,0.672,0.696,0.038,0.056,0.548,0.8196255980861243
r2_cfg2,2,15.102811108249648,1.5709754592149765,1.1037911437141286,0.8345094734944835,9,5,0.65,0.634,0.626,0.08,0.132,0.598,0.747328125
r2_cfg3,2,2.542931266972971,2.46367208212364,1.3195689034329896,0.6604716829191444,6,9,0.776,0.678,0.676,0.03,0.072,0.454,0.8232971360381861
r2_cfg6,2,15.578550323920556,1.3009846355392543,0.9657767258220524,0.7570006361778844,5,11,0.73,0.594,0.684,0.062,0.098,0.568,0.7699620733249052
r3_cfg0,3,10.431284925929242,0.19734564528670334,1.3206634967720607,0.7301684350180009,3,4,0.724,0.684,0.652,0.1,0.144,0.526,0.7814310998735778
r3_cfg4,3,10.519000187169068,2.325975742506947,1.2985704266095275,0.3847622146645612,8,5,0.728,0.69,0.668,0.05,0.136,0.526,0.7958700495049503
r3_cfg7,3,34.621325612787096,2.8426610295914307,1.3373804134706175,0.08122738209818349,6,5,0.7,0.656,0.684,0.072,0.1,0.556,0.778507537688442
r3_cfg6,3,8.53813528110712,0.40952977224334897,1.3223302581819252,0.8645715008758634,6,7,0.766,0.672,0.626,0.036,0.062,0.448,0.8188850299401199
r3_cfg5,3,4.284315909457208,1.2686246319436643,1.492558585121142,0.623246491125007,3,9,0.762,0.624,0.68,0.07,0.096,0.548,0.7894173913043478
r3_cfg2,3,15.456251609813764,0.5925491327741423,1.3045340887786387,0.8555973751226283,9,12,0.752,0.68,0.75,0.076,0.09,0.582,0.8041298224127373
r3_cfg1,3,15.896835479394776,1.2329624017978227,1.3515562527039733,0.010218603364404834,5,11,0.74,0.696,0.678,0.096,0.1,0.572,0.7995506172839506
r3_cfg3,3,16.728762850288508,0.7647685423358603,1.303144053269059,0.5869870669062188,6,12,0.768,0.714,0.716,0.036,0.116,0.468,0.8224432432432434
r4_cfg5,4,1.2715650268165901,0.7793569953920665,2.1638406226270424,0.9104982630627962,10,3,0.782,0.682,0.664,0.03,0.08,0.518,0.824973166368515
r4_cfg7,4,14.339590152409578,0.7880219413063907,0.08299821697068036,0.7454303847119946,6,4,0.708,0.642,0.678,0.072,0.106,0.566,0.7754413619167718
r4_cfg0,4,28.79772919692762,0.24243750704698058,2.08710018315726,0.3258756403693271,4,4,0.754,0.672,0.7,0.052,0.082,0.57,0.8082976913730255
r4_cfg6,4,38.06773321972049,1.6162315359698267,0.9107058790915095,0.7583335892827431,6,5,0.736,0.632,0.702,0.036,0.06,0.586,0.7960488997555012
r4_cfg4,4,12.398220279323246,1.5487213613892452,1.3348789864734893,0.44894480854161567,10,5,0.764,0.666,0.696,0.046,0.114,0.51,0.8046483180428134
r4_cfg2,4,2.3284738517310903,0.21819835615240396,1.4211120448006815,0.24202465074976237,4,5,0.778,0.662,0.714,0.05,0.064,0.526,0.8165484064942874
r4_cfg1,4,11.219434573426092,0.5044748512019058,1.483182944050084,0.10924080014274543,4,11,0.818,0.674,0.68,0.036,0.062,0.552,0.8361178550383027
r4_cfg3,4,2.396797545166229,0.20982829374720507,1.539518203382738,0.9822874984483834,3,12,0.756,0.636,0.712,0.036,0.082,0.558,0.8001661576053757
r5_cfg2,5,3.787506624994963,2.340550220824565,1.5069886922518287,0.33404514213438624,4,5,0.76,0.652,0.694,0.046,0.096,0.476,0.8022923547400611
r5_cfg1,5,5.897294407291757,0.78047461542468,2.1273427765362003,0.11469059191958533,10,7,0.744,0.672,0.658,0.052,0.1,0.576,0.8017058823529412
r5_cfg7,5,2.006866760579311,2.7982876798461715,1.286673470197398,0.4309887129339073,6,9,0.728,0.658,0.668,0.038,0.058,0.52,0.8021106382978723
r5_cfg6,5,13.029816728908012,0.8320034249901069,1.2860233013518616,0.4914328829732483,6,5,0.694,0.648,0.692,0.058,0.108,0.548,0.7749458438287153
r5_cfg0,5,21.055934148854895,0.12784833501708073,1.4662483686132384,0.091352701567342,4,10,0.682,0.68,0.684,0.068,0.082,0.546,0.7844645080946451
r5_cfg5,5,2.6915140627322076,2.92075737320329,1.4854309945281448,0.4935492621755486,4,11,0.78,0.688,0.73,0.048,0.078,0.532,0.8231693596648713
r5_cfg4,5,5.472769874010692,1.345279196218982,1.313581491529591,0.10670833412835648,6,16,0.75,0.668,0.666,0.038,0.098,0.584,0.8053479585618526
r5_cfg3,5,11.632234901351286,0.8308952972611898,1.4926391853787013,0.19789872687770577,4,15,0.708,0.62,0.676,0.072,0.086,0.498,0.7716643533123029
r6_cfg5,6,13.108366548067012,0.49559248805767,1.5426775884635546,0.09919126843973372,4,3,0.746,0.704,0.672,0.072,0.088,0.556,0.8109422492401216
r6_cfg6,6,12.822218908141041,1.536689019437551,1.2863463446175678,0.6113282766056399,6,4,0.74,0.728,0.732,0.07,0.126,0.542,0.8093740831295843
r6_cfg4,6,9.301384716573166,1.5206633082760959,1.355001959805088,0.7666769283558897,4,7,0.718,0.67,0.666,0.06,0.094,0.534,0.7922844774273345
r6_cfg3,6,13.460321741848546,0.5095806862381351,1.344376292973121,0.013561392359595085,4,9,0.752,0.674,0.646,0.082,0.104,0.536,0.7983839506172841
