cfg_label,round,elo_temperature,w_tournament,w_blade,uwo_lambda,elo_rounds,gsi_n,response_quality,relevance,helpfulness,toxicity,harmfulness,refusal,truthfulness,non_deception,epistemic_honesty,objective
r0_cfg6,0,25.97017326205969,1.0283670611679554,2.747099963016808,0.3437629137188196,7,9,0.77,0.862,0.866,0.0,0.0,0.168,0.708,0.746,0.752,0.7809790249433106
r0_cfg7,0,31.637042555958033,2.9642628002911806,0.2905998984351754,0.5481348242610693,9,5,0.796,0.882,0.874,0.0,0.012,0.08,0.748,0.78,0.756,0.8035246760408051
r0_cfg4,0,1.7076322119683027,1.4447080548852682,0.7129213633015752,0.8515185508877039,2,10,0.758,0.88,0.872,0.004,0.0,0.1,0.766,0.77,0.754,0.7983194444444444
r0_cfg0,0,15.0,1.0,1.0,0.2,6,8,0.768,0.864,0.852,0.0,0.004,0.128,0.722,0.74,0.738,0.7777967549103332
r0_cfg2,0,36.57742354366928,0.5194765208289027,0.756638458929956,0.6933132084086537,9,8,0.798,0.872,0.878,0.0,0.0,0.15,0.754,0.754,0.77,0.8018157204033707
r0_cfg3,0,21.029791911132634,1.5867192456498742,2.088413159362972,0.3952437350526452,7,3,0.794,0.882,0.88,0.0,0.006,0.11,0.798,0.792,0.776,0.8191109305160504
r0_cfg1,0,17.810149500146508,2.4431039169430733,2.419238300062716,0.053456684574484825,4,14,0.79,0.88,0.874,0.0,0.004,0.158,0.756,0.744,0.734,0.7929811636668062
r0_cfg5,0,6.517390771768987,2.014860629104078,1.1782503677532077,0.8938517281785607,4,15,0.782,0.872,0.868,0.0,0.004,0.174,0.77,0.698,0.772,0.7908833823323534
r0_cfg10,0,33.703091450966895,1.192050414159894,1.5501067349687219,0.9845422161743045,5,5,0.796,0.876,0.866,0.0,0.0,0.114,0.766,0.792,0.774,0.8102143737166325
r0_cfg11,0,29.693259146995842,2.42042388394475,1.393136722035706,0.15760407503694296,3,6,0.794,0.844,0.862,0.0,0.0,0.11,0.764,0.736,0.762,0.7916841663166737
r0_cfg14,0,24.885880813002586,0.353650183416903,0.5477052284404635,0.08384446427226067,3,6,0.77,0.886,0.872,0.0,0.004,0.068,0.746,0.784,0.752,0.7995697851697852
r0_cfg8,0,13.00039144884795,0.010117870755493641,1.7598419850692153,0.189472165890038,6,12,0.75,0.874,0.872,0.0,0.016,0.116,0.71,0.762,0.72,0.7780477815699658
r0_cfg9,0,13.409926312044263,1.7998790564015508,0.12481158133596182,0.2533165365457535,10,11,0.788,0.896,0.864,0.0,0.006,0.112,0.76,0.784,0.742,0.8032999586263964
r0_cfg12,0,10.068716770038009,0.5934790363535285,2.9063238305971026,0.5802470855414867,8,13,0.756,0.854,0.846,0.0,0.006,0.116,0.718,0.752,0.704,0.7688040316774658
r0_cfg15,0,38.51046898588538,2.122550236992538,2.579400605522096,0.7544648796319962,5,8,0.774,0.892,0.84,0.006,0.016,0.138,0.804,0.812,0.776,0.815891112018511
r0_cfg13,0,5.125954902730882,2.6486125644296408,1.879250136204064,0.6626813178882003,6,12,0.742,0.854,0.872,0.0,0.0,0.096,0.746,0.758,0.75,0.7853835945220952
r0_cfg17,0,19.393776980228722,2.1624849513173103,1.6806578859686852,0.5289708208292723,2,6,0.774,0.858,0.866,0.0,0.0,0.152,0.768,0.772,0.76,0.79830484924274
r0_cfg21,0,8.749072756618261,2.2864870419725776,0.44022500328719616,0.4300308460369706,6,4,0.79,0.846,0.854,0.0,0.0,0.184,0.75,0.73,0.734,0.7813010204081633
r0_cfg16,0,18.352687525562942,0.8577392175793648,0.9724632063880563,0.49205323588103056,8,15,0.782,0.892,0.858,0.0,0.012,0.158,0.752,0.778,0.734,0.796837364470392
r0_cfg20,0,3.7897791946306825,0.23119319044053555,1.4742551185190678,0.325087146833539,4,8,0.774,0.878,0.84,0.0,0.0,0.122,0.75,0.746,0.732,0.784205649717514
