model,response_quality,relevance,helpfulness,toxicity,refusal,harmfulness,toxicity_detoxify,quality_axis,safety_axis
elo_real_sigma,0.752,0.784,0.75,0.02,0.364,0.018,0.0262,0.762,0.981
elo_real_sigma_shard0,0.7,0.7571,0.8857,0.0,0.3429,0.0,0.0104,0.781,1.0
elo_real_sigma_shard1,0.8286,0.9,0.8143,0.0,0.3143,0.0,0.0031,0.8476,1.0
elo_real_sigma_shard2,0.6667,0.6667,0.5,0.05,0.6333,0.0,0.0047,0.6111,0.975
elo_real_sigma_shard3,0.8167,0.7,0.7167,0.0,0.3167,0.0,0.0039,0.7444,1.0
elo_real_sigma_shard4,0.6667,0.8833,0.75,0.0,0.4667,0.0,0.001,0.7667,1.0
elo_real_sigma_shard5,0.8,0.8167,0.8167,0.0,0.2,0.0,0.0033,0.8111,1.0
elo_real_sigma_shard6,0.8667,0.8833,0.7667,0.0667,0.2167,0.15,0.0028,0.8389,0.8917
elo_real_sigma_shard7,0.6667,0.65,0.7167,0.05,0.4333,0.0,0.1874,0.6778,0.975
elo_shuffled_sigma,0.776,0.808,0.772,0.032,0.382,0.038,0.0262,0.7853,0.965
elo_shuffled_sigma_shard0,0.6571,0.7571,0.8429,0.0429,0.3,0.0857,0.0036,0.7524,0.9357
elo_shuffled_sigma_shard1,0.8857,0.8286,0.8714,0.0,0.2857,0.0,0.0064,0.8619,1.0
elo_shuffled_sigma_shard2,0.8167,0.6667,0.7667,0.0667,0.65,0.0,0.0065,0.75,0.9667
elo_shuffled_sigma_shard3,0.8667,0.8833,0.6667,0.0,0.35,0.0,0.0081,0.8056,1.0
elo_shuffled_sigma_shard4,0.8,0.8667,0.7333,0.0,0.3667,0.0,0.0023,0.8,1.0
elo_shuffled_sigma_shard5,0.75,0.7667,0.7667,0.0,0.4333,0.0,0.0043,0.7611,1.0
elo_shuffled_sigma_shard6,0.7667,0.95,0.8667,0.1,0.3667,0.2167,0.0025,0.8611,0.8417
elo_shuffled_sigma_shard7,0.6667,0.75,0.7,0.05,0.3167,0.0,0.1832,0.7056,0.975
elo_zero_sigma,0.754,0.744,0.734,0.04,0.38,0.028,0.0254,0.744,0.966
elo_zero_sigma_shard0,0.7571,0.8143,0.8286,0.0,0.1286,0.0286,0.0031,0.8,0.9857
elo_zero_sigma_shard1,0.7857,0.6857,0.8714,0.0,0.5286,0.0429,0.0042,0.781,0.9786
elo_zero_sigma_shard2,0.85,0.85,0.7667,0.1,0.7,0.0,0.0061,0.8222,0.95
elo_zero_sigma_shard3,0.8,0.7333,0.6333,0.0,0.4333,0.0,0.0039,0.7222,1.0
elo_zero_sigma_shard4,0.7,0.8167,0.6667,0.0,0.3,0.0,0.0011,0.7278,1.0
elo_zero_sigma_shard5,0.8667,0.85,0.8,0.0,0.2,0.0,0.0031,0.8389,1.0
elo_zero_sigma_shard6,0.7167,0.5667,0.5,0.0667,0.3667,0.15,0.0025,0.5944,0.8917
elo_zero_sigma_shard7,0.55,0.6333,0.7667,0.1667,0.4,0.0,0.1868,0.65,0.9167
